Fecha,ARIMA,LSTM,Bayesiana,Ensemble
2025-06-04 04:40:14.332000700+00:00,114.27089741680308,77.588715,116.71951093206482,102.85970764949242
2025-06-05 04:40:14.332000700+00:00,114.27089741680321,70.40834,116.72086236159848,100.4667000775011
2025-06-06 04:40:14.332000700+00:00,114.2708974168033,64.36044,116.72221379113213,98.45118477438992
2025-06-07 04:40:14.332000700+00:00,114.27089741680335,59.86976,116.7235652206658,96.9547404144754
2025-06-08 04:40:14.332000700+00:00,114.2708974168034,57.052467,116.72491665019946,96.0160938043981
2025-06-09 04:40:14.332000700+00:00,114.27089741680342,55.734818,116.72626807973313,95.5773276671398
2025-06-10 04:40:14.332000700+00:00,114.27089741680345,55.813717,116.72761950926679,95.60407793816599
2025-06-11 04:40:14.332000700+00:00,114.27089741680346,56.910034,116.72897093880044,95.9699675117638
2025-06-12 04:40:14.332000700+00:00,114.27089741680348,58.560646,116.73032236833411,96.52062194742217
2025-06-13 04:40:14.332000700+00:00,114.27089741680349,60.566463,116.73167379786777,97.18967822837675
2025-06-14 04:40:14.332000700+00:00,114.27089741680349,62.98044,116.73302522740144,97.99478695887562
2025-06-15 04:40:14.332000700+00:00,114.27089741680349,65.8314,116.7343766569351,98.94555736133084
2025-06-16 04:40:14.332000700+00:00,114.27089741680349,68.90936,116.73572808646875,99.97199609874701
2025-06-17 04:40:14.332000700+00:00,114.27089741680349,71.97623,116.73707951600242,100.99473457981553
2025-06-18 04:40:14.332000700+00:00,114.27089741680349,75.01261,116.73843094553608,102.00731325049992
2025-06-19 04:40:14.332000700+00:00,114.27089741680349,78.09289,116.73978237506974,103.03452255676375
2025-06-20 04:40:14.332000700+00:00,114.27089741680349,81.08473,116.74113380460341,104.03225442569033
2025-06-21 04:40:14.332000700+00:00,114.27089741680349,84.08604,116.74248523413706,105.03313977768983
2025-06-22 04:40:14.332000700+00:00,114.27089741680349,87.02335,116.74383666367072,106.01269588571147
2025-06-23 04:40:14.332000700+00:00,114.27089741680349,89.85453,116.74518809320439,106.95687194816018
2025-06-24 04:40:14.332000700+00:00,114.27089741680349,92.52323,116.74653952273805,107.84688948196306
2025-06-25 04:40:14.332000700+00:00,114.27089741680349,94.59428,116.74789095227172,108.53768826576595
2025-06-26 04:40:14.332000700+00:00,114.27089741680349,95.43909,116.74924238180537,108.81974223755712
2025-06-27 04:40:14.332000700+00:00,114.27089741680349,94.50755,116.75059381133903,108.50968144290948
2025-06-28 04:40:14.332000700+00:00,114.27089741680349,91.60768,116.7519452408727,107.54350797736343
2025-06-29 04:40:14.332000700+00:00,114.27089741680349,86.59997,116.75329667040636,105.87472068125095
2025-06-30 04:40:14.332000700+00:00,114.27089741680349,80.05496,116.75464809994003,103.69350255831556
2025-07-01 04:40:14.332000700+00:00,114.27089741680349,72.83962,116.75599952947368,101.28883981461193
2025-07-02 04:40:14.332000700+00:00,114.27089741680349,66.25818,116.75735095900734,99.09547569558278
2025-07-03 04:40:14.332000700+00:00,114.27089741680349,61.1701,116.75870238854101,97.39990032370532
2025-07-04 04:40:14.332000700+00:00,114.27089741680349,57.800465,116.76005381807467,96.27713862166837
